# r, Phi, Pi, A, delta
0.0273319 -0.21822 -0.00928917 1 -9.14296e-06 
0.0274889 -0.219469 -0.00928947 1 -9.35301e-06 
0.027646 -0.220718 -0.00928976 1 -9.56665e-06 
0.0278031 -0.221967 -0.00929004 1 -9.78393e-06 
0.0279602 -0.223216 -0.00929032 0.999999 -1.00049e-05 
0.0281173 -0.224464 -0.00929058 0.999999 -1.02296e-05 
0.0282743 -0.225713 -0.00929084 0.999999 -1.0458e-05 
0.0284314 -0.226961 -0.00929109 0.999999 -1.06902e-05 
0.0285885 -0.22821 -0.00929133 0.999999 -1.09263e-05 
0.0287456 -0.229458 -0.00929157 0.999999 -1.11663e-05 
0.0289027 -0.230707 -0.00929179 0.999999 -1.14101e-05 
0.0290597 -0.231955 -0.00929201 0.999999 -1.1658e-05 
0.0292168 -0.233203 -0.00929222 0.999999 -1.19099e-05 
0.0293739 -0.234451 -0.00929243 0.999999 -1.21658e-05 
0.029531 -0.235699 -0.00929262 0.999999 -1.24258e-05 
0.0296881 -0.236947 -0.00929281 0.999999 -1.269e-05 
0.0298451 -0.238194 -0.00929299 0.999999 -1.29583e-05 
0.0300022 -0.239442 -0.00929316 0.999999 -1.32309e-05 
0.0301593 -0.24069 -0.00929333 0.999999 -1.35077e-05 
0.0303164 -0.241937 -0.00929349 0.999999 -1.37889e-05 
0.0304734 -0.243184 -0.00929364 0.999999 -1.40744e-05 
0.0306305 -0.244432 -0.00929378 0.999999 -1.43643e-05 
0.0307876 -0.245679 -0.00929392 0.999999 -1.46587e-05 
0.0309447 -0.246926 -0.00929405 0.999999 -1.49576e-05 
0.0311018 -0.248173 -0.00929418 0.999999 -1.5261e-05 
0.0312588 -0.24942 -0.0092943 0.999999 -1.5569e-05 
0.0314159 -0.250666 -0.00929441 0.999999 -1.58816e-05 
0.031573 -0.251913 -0.00929451 0.999999 -1.6199e-05 
0.0317301 -0.25316 -0.00929461 0.999999 -1.6521e-05 
0.0318872 -0.254406 -0.0092947 0.999999 -1.68478e-05 
0.0320442 -0.255652 -0.00929479 0.999999 -1.71794e-05 
0.0322013 -0.256899 -0.00929487 0.999999 -1.75159e-05 
0.0323584 -0.258145 -0.00929494 0.999999 -1.78573e-05 
0.0325155 -0.259391 -0.00929501 0.999999 -1.82037e-05 
0.0326726 -0.260637 -0.00929507 0.999999 -1.8555e-05 
0.0328296 -0.261883 -0.00929513 0.999999 -1.89114e-05 
0.0329867 -0.263128 -0.00929518 0.999999 -1.92729e-05 
0.0331438 -0.264374 -0.00929522 0.999999 -1.96396e-05 
0.0333009 -0.26562 -0.00929526 0.999999 -2.00115e-05 
0.033458 -0.266865 -0.00929529 0.999999 -2.03886e-05 
0.033615 -0.26811 -0.00929532 0.999999 -2.0771e-05 
0.0337721 -0.269356 -0.00929534 0.999999 -2.11587e-05 
0.0339292 -0.270601 -0.00929536 0.999999 -2.15519e-05 
0.0340863 -0.271846 -0.00929537 0.999999 -2.19504e-05 
0.0342434 -0.273091 -0.00929537 0.999999 -2.23545e-05 
0.0344004 -0.274335 -0.00929537 0.999999 -2.27641e-05 
0.0345575 -0.27558 -0.00929537 0.999999 -2.31793e-05 
0.0347146 -0.276825 -0.00929535 0.999999 -2.36002e-05 
0.0348717 -0.278069 -0.00929534 0.999998 -2.40267e-05 
0.0350288 -0.279314 -0.00929532 0.999998 -2.4459e-05 
0.0351858 -0.280558 -0.00929529 0.999998 -2.48971e-05 
0.0353429 -0.281802 -0.00929526 0.999998 -2.5341e-05 
0.0355 -0.283046 -0.00929522 0.999998 -2.57909e-05 
0.0356571 -0.28429 -0.00929518 0.999998 -2.62467e-05 
0.0358142 -0.285534 -0.00929513 0.999998 -2.67084e-05 
0.0359712 -0.286777 -0.00929508 0.999998 -2.71763e-05 
0.0361283 -0.288021 -0.00929502 0.999998 -2.76502e-05 
0.0362854 -0.289264 -0.00929496 0.999998 -2.81303e-05 
0.0364425 -0.290508 -0.0092949 0.999998 -2.86166e-05 
0.0365996 -0.291751 -0.00929483 0.999998 -2.91092e-05 
0.0367566 -0.292994 -0.00929475 0.999998 -2.96081e-05 
0.0369137 -0.294237 -0.00929467 0.999998 -3.01133e-05 
0.0370708 -0.29548 -0.00929459 0.999998 -3.0625e-05 
0.0372279 -0.296723 -0.0092945 0.999998 -3.11431e-05 
0.037385 -0.297966 -0.0092944 0.999998 -3.16678e-05 
0.037542 -0.299208 -0.0092943 0.999998 -3.21991e-05 
0.0376991 -0.30045 -0.0092942 0.999998 -3.2737e-05 
0.0378562 -0.301693 -0.00929409 0.999998 -3.32816e-05 
0.0380133 -0.302935 -0.00929398 0.999998 -3.3833e-05 
0.0381704 -0.304177 -0.00929386 0.999998 -3.43911e-05 
0.0383274 -0.305419 -0.00929374 0.999998 -3.49562e-05 
0.0384845 -0.306661 -0.00929362 0.999998 -3.55281e-05 
0.0386416 -0.307902 -0.00929349 0.999998 -3.6107e-05 
0.0387987 -0.309144 -0.00929336 0.999997 -3.66929e-05 
0.0389557 -0.310385 -0.00929322 0.999997 -3.7286e-05 
0.0391128 -0.311627 -0.00929308 0.999997 -3.78861e-05 
0.0392699 -0.312868 -0.00929293 0.999997 -3.84935e-05 
0.039427 -0.314109 -0.00929278 0.999997 -3.91081e-05 
0.0395841 -0.31535 -0.00929263 0.999997 -3.973e-05 
0.0397411 -0.316591 -0.00929247 0.999997 -4.03593e-05 
0.0398982 -0.317832 -0.00929231 0.999997 -4.0996e-05 
0.0400553 -0.319072 -0.00929214 0.999997 -4.16401e-05 
0.0402124 -0.320313 -0.00929197 0.999997 -4.22919e-05 
0.0403695 -0.321553 -0.00929179 0.999997 -4.29512e-05 
0.0405265 -0.322793 -0.00929162 0.999997 -4.36182e-05 
0.0406836 -0.324033 -0.00929143 0.999997 -4.42929e-05 
0.0408407 -0.325273 -0.00929125 0.999997 -4.49753e-05 
0.0409978 -0.326513 -0.00929106 0.999997 -4.56656e-05 
0.0411549 -0.327753 -0.00929086 0.999997 -4.63638e-05 
0.0413119 -0.328992 -0.00929067 0.999997 -4.70699e-05 
0.041469 -0.330232 -0.00929047 0.999996 -4.77841e-05 
0.0416261 -0.331471 -0.00929026 0.999996 -4.85063e-05 
0.0417832 -0.33271 -0.00929005 0.999996 -4.92366e-05 
0.0419403 -0.333949 -0.00928984 0.999996 -4.99752e-05 
0.0420973 -0.335188 -0.00928962 0.999996 -5.0722e-05 
0.0422544 -0.336427 -0.0092894 0.999996 -5.14771e-05 
0.0424115 -0.337666 -0.00928918 0.999996 -5.22405e-05 
0.0425686 -0.338904 -0.00928895 0.999996 -5.30124e-05 
0.0427257 -0.340142 -0.00928872 0.999996 -5.37928e-05 
0.0428827 -0.341381 -0.00928849 0.999996 -5.45818e-05 
0.0430398 -0.342619 -0.00928825 0.999996 -5.53793e-05 
0.0431969 -0.343857 -0.00928801 0.999996 -5.61856e-05 
0.043354 -0.345095 -0.00928776 0.999996 -5.70005e-05 
0.0435111 -0.346332 -0.00928752 0.999996 -5.78243e-05 
0.0436681 -0.34757 -0.00928726 0.999995 -5.8657e-05 
0.0438252 -0.348807 -0.00928701 0.999995 -5.94985e-05 
0.0439823 -0.350045 -0.00928675 0.999995 -6.03491e-05 
0.0441394 -0.351282 -0.00928649 0.999995 -6.12087e-05 
0.0442965 -0.352519 -0.00928622 0.999995 -6.20775e-05 
0.0444535 -0.353756 -0.00928596 0.999995 -6.29554e-05 
0.0446106 -0.354992 -0.00928568 0.999995 -6.38425e-05 
0.0447677 -0.356229 -0.00928541 0.999995 -6.4739e-05 
0.0449248 -0.357465 -0.00928513 0.999995 -6.56448e-05 
0.0450819 -0.358702 -0.00928485 0.999995 -6.65601e-05 
0.0452389 -0.359938 -0.00928456 0.999995 -6.74849e-05 
0.045396 -0.361174 -0.00928427 0.999995 -6.84192e-05 
0.0455531 -0.36241 -0.00928398 0.999994 -6.93632e-05 
0.0457102 -0.363645 -0.00928369 0.999994 -7.03168e-05 
0.0458673 -0.364881 -0.00928339 0.999994 -7.12803e-05 
0.0460243 -0.366116 -0.00928309 0.999994 -7.22535e-05 
0.0461814 -0.367352 -0.00928278 0.999994 -7.32367e-05 
0.0463385 -0.368587 -0.00928248 0.999994 -7.42298e-05 
0.0464956 -0.369822 -0.00928216 0.999994 -7.52329e-05 
0.0466527 -0.371057 -0.00928185 0.999994 -7.62461e-05 
0.0468097 -0.372291 -0.00928153 0.999994 -7.72695e-05 
0.0469668 -0.373526 -0.00928121 0.999994 -7.83031e-05 
0.0471239 -0.37476 -0.00928089 0.999993 -7.93469e-05 
0.047281 -0.375995 -0.00928056 0.999993 -8.04012e-05 
0.047438 -0.377229 -0.00928024 0.999993 -8.14658e-05 
0.0475951 -0.378463 -0.0092799 0.999993 -8.2541e-05 
0.0477522 -0.379697 -0.00927957 0.999993 -8.36267e-05 
0.0479093 -0.38093 -0.00927923 0.999993 -8.47231e-05 
0.0480664 -0.382164 -0.00927889 0.999993 -8.58301e-05 
0.0482234 -0.383397 -0.00927854 0.999993 -8.69479e-05 
0.0483805 -0.38463 -0.0092782 0.999993 -8.80765e-05 
0.0485376 -0.385863 -0.00927785 0.999992 -8.92161e-05 
0.0486947 -0.387096 -0.00927749 0.999992 -9.03666e-05 
0.0488518 -0.388329 -0.00927714 0.999992 -9.15281e-05 
0.0490088 -0.389562 -0.00927678 0.999992 -9.27008e-05 
0.0491659 -0.390794 -0.00927642 0.999992 -9.38846e-05 
0.049323 -0.392026 -0.00927605 0.999992 -9.50797e-05 
0.0494801 -0.393259 -0.00927569 0.999992 -9.62861e-05 
0.0496372 -0.394491 -0.00927532 0.999992 -9.75039e-05 
0.0497942 -0.395722 -0.00927494 0.999991 -9.87332e-05 
0.0499513 -0.396954 -0.00927457 0.999991 -9.9974e-05 
0.0501084 -0.398186 -0.00927419 0.999991 -0.000101226 
0.0502655 -0.399417 -0.00927381 0.999991 -0.00010249 
0.0504226 -0.400648 -0.00927342 0.999991 -0.000103766 
0.0505796 -0.401879 -0.00927303 0.999991 -0.000105054 
0.0507367 -0.40311 -0.00927264 0.999991 -0.000106353 
0.0508938 -0.404341 -0.00927225 0.99999 -0.000107665 
0.0510509 -0.405571 -0.00927186 0.99999 -0.000108988 
0.051208 -0.406802 -0.00927146 0.99999 -0.000110324 
0.051365 -0.408032 -0.00927106 0.99999 -0.000111672 
0.0515221 -0.409262 -0.00927065 0.99999 -0.000113032 
0.0516792 -0.410492 -0.00927025 0.99999 -0.000114404 
0.0518363 -0.411722 -0.00926984 0.99999 -0.000115789 
0.0519934 -0.412951 -0.00926943 0.999989 -0.000117186 
0.0521504 -0.414181 -0.00926901 0.999989 -0.000118596 
0.0523075 -0.41541 -0.0092686 0.999989 -0.000120018 
0.0524646 -0.416639 -0.00926818 0.999989 -0.000121453 
0.0526217 -0.417868 -0.00926775 0.999989 -0.000122901 
0.0527788 -0.419097 -0.00926733 0.999989 -0.000124361 
0.0529358 -0.420325 -0.0092669 0.999988 -0.000125835 
0.0530929 -0.421554 -0.00926647 0.999988 -0.000127321 
0.05325 -0.422782 -0.00926604 0.999988 -0.000128821 
0.0534071 -0.42401 -0.0092656 0.999988 -0.000130334 
0.0535642 -0.425238 -0.00926517 0.999988 -0.00013186 
0.0537212 -0.426466 -0.00926473 0.999988 -0.000133399 
0.0538783 -0.427694 -0.00926428 0.999987 -0.000134951 
0.0540354 -0.428921 -0.00926384 0.999987 -0.000136517 
0.0541925 -0.430148 -0.00926339 0.999987 -0.000138097 
0.0543496 -0.431375 -0.00926294 0.999987 -0.00013969 
0.0545066 -0.432602 -0.00926249 0.999987 -0.000141297 
0.0546637 -0.433829 -0.00926203 0.999987 -0.000142917 
0.0548208 -0.435056 -0.00926157 0.999986 -0.000144551 
0.0549779 -0.436282 -0.00926111 0.999986 -0.0001462 
0.055135 -0.437508 -0.00926065 0.999986 -0.000147862 
0.055292 -0.438734 -0.00926018 0.999986 -0.000149538 
0.0554491 -0.43996 -0.00925972 0.999986 -0.000151228 
0.0556062 -0.441186 -0.00925925 0.999985 -0.000152933 
0.0557633 -0.442411 -0.00925877 0.999985 -0.000154652 
0.0559203 -0.443637 -0.0092583 0.999985 -0.000156385 
0.0560774 -0.444862 -0.00925782 0.999985 -0.000158132 
0.0562345 -0.446087 -0.00925734 0.999985 -0.000159895 
0.0563916 -0.447312 -0.00925686 0.999984 -0.000161671 
0.0565487 -0.448536 -0.00925637 0.999984 -0.000163463 
0.0567057 -0.449761 -0.00925588 0.999984 -0.000165269 
0.0568628 -0.450985 -0.0092554 0.999984 -0.00016709 
0.0570199 -0.452209 -0.0092549 0.999983 -0.000168926 
0.057177 -0.453433 -0.00925441 0.999983 -0.000170776 
0.0573341 -0.454657 -0.00925391 0.999983 -0.000172642 
0.0574911 -0.455881 -0.00925341 0.999983 -0.000174523 
0.0576482 -0.457104 -0.00925291 0.999983 -0.00017642 
0.0578053 -0.458327 -0.00925241 0.999982 -0.000178331 
0.0579624 -0.45955 -0.0092519 0.999982 -0.000180258 
0.0581195 -0.460773 -0.00925139 0.999982 -0.000182201 
0.0582765 -0.461996 -0.00925088 0.999982 -0.000184159 
0.0584336 -0.463218 -0.00925037 0.999981 -0.000186132 
0.0585907 -0.46444 -0.00924985 0.999981 -0.000188122 
0.0587478 -0.465663 -0.00924934 0.999981 -0.000190127 
0.0589049 -0.466885 -0.00924882 0.999981 -0.000192148 
0.0590619 -0.468106 -0.00924829 0.99998 -0.000194185 
0.059219 -0.469328 -0.00924777 0.99998 -0.000196238 
0.0593761 -0.470549 -0.00924724 0.99998 -0.000198307 
0.0595332 -0.47177 -0.00924671 0.99998 -0.000200393 
0.0596903 -0.472991 -0.00924618 0.999979 -0.000202494 
0.0598473 -0.474212 -0.00924565 0.999979 -0.000204612 
0.0600044 -0.475433 -0.00924511 0.999979 -0.000206747 
0.0601615 -0.476653 -0.00924457 0.999979 -0.000208898 
0.0603186 -0.477874 -0.00924403 0.999978 -0.000211065 
0.0604757 -0.479094 -0.00924349 0.999978 -0.00021325 
0.0606327 -0.480313 -0.00924295 0.999978 -0.000215451 
0.0607898 -0.481533 -0.0092424 0.999977 -0.000217669 
0.0609469 -0.482753 -0.00924185 0.999977 -0.000219904 
0.061104 -0.483972 -0.0092413 0.999977 -0.000222156 
0.0612611 -0.485191 -0.00924075 0.999977 -0.000224425 
0.0614181 -0.48641 -0.00924019 0.999976 -0.000226711 
0.0615752 -0.487629 -0.00923963 0.999976 -0.000229014 
0.0617323 -0.488847 -0.00923907 0.999976 -0.000231335 
0.0618894 -0.490066 -0.00923851 0.999975 -0.000233674 
0.0620465 -0.491284 -0.00923795 0.999975 -0.00023603 
0.0622035 -0.492502 -0.00923738 0.999975 -0.000238403 
0.0623606 -0.493719 -0.00923681 0.999975 -0.000240795 
0.0625177 -0.494937 -0.00923624 0.999974 -0.000243204 
0.0626748 -0.496154 -0.00923567 0.999974 -0.000245631 
0.0628319 -0.497371 -0.00923509 0.999974 -0.000248076 
0.0629889 -0.498588 -0.00923451 0.999973 -0.000250539 
0.063146 -0.499805 -0.00923394 0.999973 -0.00025302 
0.0633031 -0.501022 -0.00923335 0.999973 -0.000255519 
0.0634602 -0.502238 -0.00923277 0.999972 -0.000258037 
0.0636173 -0.503454 -0.00923218 0.999972 -0.000260573 
0.0637743 -0.50467 -0.0092316 0.999972 -0.000263128 
0.0639314 -0.505886 -0.00923101 0.999971 -0.000265701 
0.0640885 -0.507102 -0.00923042 0.999971 -0.000268293 
0.0642456 -0.508317 -0.00922982 0.999971 -0.000270904 
0.0644026 -0.509532 -0.00922923 0.99997 -0.000273533 
0.0645597 -0.510747 -0.00922863 0.99997 -0.000276182 
0.0647168 -0.511962 -0.00922803 0.99997 -0.000278849 
0.0648739 -0.513176 -0.00922743 0.999969 -0.000281536 
0.065031 -0.514391 -0.00922682 0.999969 -0.000284242 
0.065188 -0.515605 -0.00922621 0.999968 -0.000286967 
0.0653451 -0.516819 -0.00922561 0.999968 -0.000289711 
0.0655022 -0.518032 -0.009225 0.999968 -0.000292475 
0.0656593 -0.519246 -0.00922438 0.999967 -0.000295258 
0.0658164 -0.520459 -0.00922377 0.999967 -0.000298062 
0.0659734 -0.521672 -0.00922315 0.999967 -0.000300884 
0.0661305 -0.522885 -0.00922253 0.999966 -0.000303727 
0.0662876 -0.524098 -0.00922191 0.999966 -0.00030659 
0.0664447 -0.525311 -0.00922129 0.999965 -0.000309472 
0.0666018 -0.526523 -0.00922067 0.999965 -0.000312375 
0.0667588 -0.527735 -0.00922004 0.999965 -0.000315298 
0.0669159 -0.528947 -0.00921941 0.999964 -0.000318241 
0.067073 -0.530158 -0.00921878 0.999964 -0.000321204 
0.0672301 -0.53137 -0.00921815 0.999963 -0.000324188 
0.0673872 -0.532581 -0.00921751 0.999963 -0.000327193 
0.0675442 -0.533792 -0.00921688 0.999963 -0.000330218 
0.0677013 -0.535003 -0.00921624 0.999962 -0.000333264 
