# r, Phi, Pi, A, delta
0.770633 -0.347634 0.00147848 0.963361 -0.497746 
0.77079 -0.347026 0.00147794 0.963398 -0.497755 
0.770947 -0.346418 0.00147741 0.963436 -0.497764 
0.771104 -0.345811 0.00147687 0.963474 -0.497774 
0.771261 -0.345204 0.00147633 0.963511 -0.497783 
0.771418 -0.344598 0.00147578 0.963548 -0.497793 
0.771575 -0.343993 0.00147524 0.963586 -0.497802 
0.771732 -0.343388 0.00147468 0.963623 -0.497811 
0.771889 -0.342784 0.00147413 0.963661 -0.49782 
0.772046 -0.34218 0.00147357 0.963698 -0.497829 
0.772203 -0.341577 0.00147301 0.963735 -0.497839 
0.772361 -0.340975 0.00147245 0.963773 -0.497848 
0.772518 -0.340373 0.00147188 0.96381 -0.497857 
0.772675 -0.339772 0.00147131 0.963847 -0.497866 
0.772832 -0.339171 0.00147073 0.963885 -0.497875 
0.772989 -0.338571 0.00147016 0.963922 -0.497884 
0.773146 -0.337971 0.00146957 0.963959 -0.497893 
0.773303 -0.337372 0.00146899 0.963996 -0.497902 
0.77346 -0.336774 0.0014684 0.964033 -0.497911 
0.773617 -0.336176 0.00146781 0.96407 -0.497919 
0.773774 -0.335579 0.00146722 0.964108 -0.497928 
0.773931 -0.334983 0.00146662 0.964145 -0.497937 
0.774088 -0.334387 0.00146602 0.964182 -0.497946 
0.774246 -0.333791 0.00146542 0.964219 -0.497955 
0.774403 -0.333197 0.00146482 0.964256 -0.497963 
0.77456 -0.332602 0.00146421 0.964293 -0.497972 
0.774717 -0.332009 0.00146359 0.96433 -0.497981 
0.774874 -0.331416 0.00146298 0.964367 -0.497989 
0.775031 -0.330824 0.00146236 0.964404 -0.497998 
0.775188 -0.330232 0.00146174 0.96444 -0.498006 
0.775345 -0.329641 0.00146111 0.964477 -0.498015 
0.775502 -0.32905 0.00146049 0.964514 -0.498023 
0.775659 -0.32846 0.00145985 0.964551 -0.498032 
0.775816 -0.327871 0.00145922 0.964588 -0.49804 
0.775973 -0.327282 0.00145858 0.964624 -0.498049 
0.77613 -0.326694 0.00145794 0.964661 -0.498057 
0.776288 -0.326106 0.0014573 0.964698 -0.498065 
0.776445 -0.325519 0.00145665 0.964735 -0.498074 
0.776602 -0.324932 0.001456 0.964771 -0.498082 
0.776759 -0.324347 0.00145535 0.964808 -0.49809 
0.776916 -0.323761 0.0014547 0.964844 -0.498098 
0.777073 -0.323177 0.00145404 0.964881 -0.498106 
0.77723 -0.322593 0.00145337 0.964918 -0.498115 
0.777387 -0.322009 0.00145271 0.964954 -0.498123 
0.777544 -0.321426 0.00145204 0.964991 -0.498131 
0.777701 -0.320844 0.00145137 0.965027 -0.498139 
0.777858 -0.320263 0.0014507 0.965064 -0.498147 
0.778015 -0.319682 0.00145002 0.9651 -0.498155 
0.778173 -0.319101 0.00144934 0.965136 -0.498163 
0.77833 -0.318521 0.00144866 0.965173 -0.498171 
0.778487 -0.317942 0.00144797 0.965209 -0.498179 
0.778644 -0.317363 0.00144728 0.965245 -0.498187 
0.778801 -0.316785 0.00144659 0.965282 -0.498195 
0.778958 -0.316208 0.0014459 0.965318 -0.498202 
0.779115 -0.315631 0.0014452 0.965354 -0.49821 
0.779272 -0.315055 0.0014445 0.96539 -0.498218 
0.779429 -0.314479 0.00144379 0.965427 -0.498226 
0.779586 -0.313904 0.00144309 0.965463 -0.498234 
0.779743 -0.31333 0.00144238 0.965499 -0.498241 
0.7799 -0.312756 0.00144166 0.965535 -0.498249 
0.780057 -0.312183 0.00144095 0.965571 -0.498257 
0.780215 -0.31161 0.00144023 0.965607 -0.498264 
0.780372 -0.311038 0.00143951 0.965643 -0.498272 
0.780529 -0.310466 0.00143878 0.965679 -0.498279 
0.780686 -0.309896 0.00143805 0.965715 -0.498287 
0.780843 -0.309325 0.00143732 0.965751 -0.498294 
0.781 -0.308756 0.00143659 0.965787 -0.498302 
0.781157 -0.308187 0.00143585 0.965823 -0.498309 
0.781314 -0.307618 0.00143512 0.965859 -0.498317 
0.781471 -0.307051 0.00143437 0.965895 -0.498324 
0.781628 -0.306483 0.00143363 0.965931 -0.498331 
0.781785 -0.305917 0.00143288 0.965967 -0.498339 
0.781942 -0.305351 0.00143213 0.966002 -0.498346 
0.782099 -0.304785 0.00143138 0.966038 -0.498353 
0.782257 -0.30422 0.00143062 0.966074 -0.498361 
0.782414 -0.303656 0.00142986 0.96611 -0.498368 
0.782571 -0.303093 0.0014291 0.966145 -0.498375 
0.782728 -0.30253 0.00142833 0.966181 -0.498382 
0.782885 -0.301967 0.00142757 0.966216 -0.498389 
0.783042 -0.301406 0.0014268 0.966252 -0.498396 
0.783199 -0.300844 0.00142602 0.966288 -0.498404 
0.783356 -0.300284 0.00142525 0.966323 -0.498411 
0.783513 -0.299724 0.00142447 0.966359 -0.498418 
0.78367 -0.299164 0.00142369 0.966394 -0.498425 
0.783827 -0.298606 0.0014229 0.96643 -0.498432 
0.783984 -0.298048 0.00142211 0.966465 -0.498439 
0.784142 -0.29749 0.00142132 0.966501 -0.498446 
0.784299 -0.296933 0.00142053 0.966536 -0.498453 
0.784456 -0.296377 0.00141973 0.966571 -0.498459 
0.784613 -0.295821 0.00141894 0.966607 -0.498466 
0.78477 -0.295266 0.00141813 0.966642 -0.498473 
0.784927 -0.294711 0.00141733 0.966677 -0.49848 
0.785084 -0.294158 0.00141652 0.966713 -0.498487 
0.785241 -0.293604 0.00141571 0.966748 -0.498493 
0.785398 -0.293052 0.0014149 0.966783 -0.4985 
0.785555 -0.292499 0.00141409 0.966818 -0.498507 
0.785712 -0.291948 0.00141327 0.966853 -0.498514 
0.785869 -0.291397 0.00141245 0.966888 -0.49852 
0.786026 -0.290847 0.00141163 0.966924 -0.498527 
0.786184 -0.290297 0.0014108 0.966959 -0.498533 
0.786341 -0.289748 0.00140997 0.966994 -0.49854 
0.786498 -0.2892 0.00140914 0.967029 -0.498547 
0.786655 -0.288652 0.00140831 0.967064 -0.498553 
0.786812 -0.288105 0.00140747 0.967099 -0.49856 
0.786969 -0.287558 0.00140663 0.967134 -0.498566 
0.787126 -0.287012 0.00140579 0.967168 -0.498573 
0.787283 -0.286467 0.00140494 0.967203 -0.498579 
0.78744 -0.285922 0.0014041 0.967238 -0.498585 
0.787597 -0.285378 0.00140325 0.967273 -0.498592 
0.787754 -0.284834 0.00140239 0.967308 -0.498598 
0.787911 -0.284291 0.00140154 0.967343 -0.498604 
0.788069 -0.283749 0.00140068 0.967377 -0.498611 
0.788226 -0.283207 0.00139982 0.967412 -0.498617 
0.788383 -0.282666 0.00139896 0.967447 -0.498623 
0.78854 -0.282126 0.00139809 0.967482 -0.49863 
0.788697 -0.281586 0.00139722 0.967516 -0.498636 
0.788854 -0.281046 0.00139635 0.967551 -0.498642 
0.789011 -0.280508 0.00139548 0.967585 -0.498648 
0.789168 -0.27997 0.0013946 0.96762 -0.498654 
0.789325 -0.279432 0.00139372 0.967654 -0.49866 
0.789482 -0.278895 0.00139284 0.967689 -0.498667 
0.789639 -0.278359 0.00139196 0.967723 -0.498673 
0.789796 -0.277823 0.00139107 0.967758 -0.498679 
0.789953 -0.277288 0.00139018 0.967792 -0.498685 
0.790111 -0.276754 0.00138929 0.967827 -0.498691 
0.790268 -0.27622 0.0013884 0.967861 -0.498697 
0.790425 -0.275687 0.0013875 0.967896 -0.498703 
0.790582 -0.275154 0.0013866 0.96793 -0.498709 
0.790739 -0.274623 0.0013857 0.967964 -0.498714 
0.790896 -0.274091 0.00138479 0.967998 -0.49872 
0.791053 -0.27356 0.00138389 0.968033 -0.498726 
0.79121 -0.27303 0.00138298 0.968067 -0.498732 
0.791367 -0.272501 0.00138207 0.968101 -0.498738 
0.791524 -0.271972 0.00138115 0.968135 -0.498744 
0.791681 -0.271444 0.00138024 0.968169 -0.498749 
0.791838 -0.270916 0.00137932 0.968203 -0.498755 
0.791996 -0.270389 0.00137839 0.968238 -0.498761 
0.792153 -0.269862 0.00137747 0.968272 -0.498767 
0.79231 -0.269337 0.00137654 0.968306 -0.498772 
0.792467 -0.268811 0.00137561 0.96834 -0.498778 
0.792624 -0.268287 0.00137468 0.968374 -0.498784 
0.792781 -0.267763 0.00137375 0.968408 -0.498789 
0.792938 -0.267239 0.00137281 0.968441 -0.498795 
0.793095 -0.266717 0.00137187 0.968475 -0.4988 
0.793252 -0.266194 0.00137093 0.968509 -0.498806 
0.793409 -0.265673 0.00136999 0.968543 -0.498812 
0.793566 -0.265152 0.00136904 0.968577 -0.498817 
0.793723 -0.264632 0.00136809 0.968611 -0.498823 
0.79388 -0.264112 0.00136714 0.968644 -0.498828 
0.794038 -0.263593 0.00136619 0.968678 -0.498833 
0.794195 -0.263074 0.00136523 0.968712 -0.498839 
0.794352 -0.262556 0.00136428 0.968746 -0.498844 
0.794509 -0.262039 0.00136332 0.968779 -0.49885 
0.794666 -0.261522 0.00136235 0.968813 -0.498855 
0.794823 -0.261006 0.00136139 0.968846 -0.49886 
0.79498 -0.260491 0.00136042 0.96888 -0.498866 
0.795137 -0.259976 0.00135945 0.968913 -0.498871 
0.795294 -0.259462 0.00135848 0.968947 -0.498876 
0.795451 -0.258948 0.0013575 0.96898 -0.498881 
0.795608 -0.258435 0.00135653 0.969014 -0.498887 
0.795765 -0.257923 0.00135555 0.969047 -0.498892 
0.795922 -0.257411 0.00135457 0.969081 -0.498897 
0.79608 -0.2569 0.00135358 0.969114 -0.498902 
0.796237 -0.25639 0.0013526 0.969147 -0.498907 
0.796394 -0.25588 0.00135161 0.969181 -0.498913 
0.796551 -0.255371 0.00135062 0.969214 -0.498918 
0.796708 -0.254862 0.00134962 0.969247 -0.498923 
0.796865 -0.254354 0.00134863 0.969281 -0.498928 
0.797022 -0.253846 0.00134763 0.969314 -0.498933 
0.797179 -0.25334 0.00134663 0.969347 -0.498938 
0.797336 -0.252833 0.00134563 0.96938 -0.498943 
0.797493 -0.252328 0.00134462 0.969413 -0.498948 
0.79765 -0.251823 0.00134362 0.969446 -0.498953 
0.797807 -0.251318 0.00134261 0.969479 -0.498958 
0.797965 -0.250815 0.0013416 0.969512 -0.498963 
0.798122 -0.250312 0.00134058 0.969545 -0.498968 
0.798279 -0.249809 0.00133957 0.969578 -0.498973 
0.798436 -0.249307 0.00133855 0.969611 -0.498977 
0.798593 -0.248806 0.00133753 0.969644 -0.498982 
0.79875 -0.248305 0.00133651 0.969677 -0.498987 
0.798907 -0.247805 0.00133548 0.96971 -0.498992 
0.799064 -0.247306 0.00133446 0.969743 -0.498997 
0.799221 -0.246807 0.00133343 0.969776 -0.499002 
0.799378 -0.246309 0.0013324 0.969808 -0.499006 
0.799535 -0.245811 0.00133137 0.969841 -0.499011 
0.799692 -0.245314 0.00133033 0.969874 -0.499016 
0.799849 -0.244818 0.00132929 0.969907 -0.49902 
0.800007 -0.244322 0.00132825 0.969939 -0.499025 
0.800164 -0.243827 0.00132721 0.969972 -0.49903 
0.800321 -0.243332 0.00132617 0.970005 -0.499034 
0.800478 -0.242838 0.00132512 0.970037 -0.499039 
0.800635 -0.242345 0.00132407 0.97007 -0.499044 
0.800792 -0.241852 0.00132302 0.970102 -0.499048 
0.800949 -0.24136 0.00132197 0.970135 -0.499053 
0.801106 -0.240869 0.00132092 0.970167 -0.499057 
0.801263 -0.240378 0.00131986 0.9702 -0.499062 
0.80142 -0.239888 0.0013188 0.970232 -0.499066 
0.801577 -0.239398 0.00131774 0.970265 -0.499071 
0.801734 -0.238909 0.00131668 0.970297 -0.499075 
0.801892 -0.238421 0.00131561 0.970329 -0.49908 
0.802049 -0.237933 0.00131455 0.970362 -0.499084 
0.802206 -0.237446 0.00131348 0.970394 -0.499089 
0.802363 -0.236959 0.00131241 0.970426 -0.499093 
0.80252 -0.236473 0.00131133 0.970458 -0.499097 
0.802677 -0.235988 0.00131026 0.970491 -0.499102 
0.802834 -0.235503 0.00130918 0.970523 -0.499106 
0.802991 -0.235019 0.0013081 0.970555 -0.49911 
0.803148 -0.234536 0.00130702 0.970587 -0.499115 
0.803305 -0.234053 0.00130594 0.970619 -0.499119 
0.803462 -0.233571 0.00130485 0.970651 -0.499123 
0.803619 -0.233089 0.00130377 0.970683 -0.499128 
0.803776 -0.232608 0.00130268 0.970715 -0.499132 
0.803934 -0.232128 0.00130159 0.970747 -0.499136 
0.804091 -0.231648 0.00130049 0.970779 -0.49914 
0.804248 -0.231169 0.0012994 0.970811 -0.499144 
0.804405 -0.23069 0.0012983 0.970843 -0.499149 
0.804562 -0.230212 0.0012972 0.970875 -0.499153 
0.804719 -0.229735 0.0012961 0.970907 -0.499157 
0.804876 -0.229258 0.001295 0.970939 -0.499161 
0.805033 -0.228782 0.00129389 0.97097 -0.499165 
0.80519 -0.228307 0.00129279 0.971002 -0.499169 
0.805347 -0.227832 0.00129168 0.971034 -0.499173 
0.805504 -0.227358 0.00129057 0.971066 -0.499177 
0.805661 -0.226884 0.00128946 0.971097 -0.499181 
0.805819 -0.226411 0.00128834 0.971129 -0.499185 
0.805976 -0.225939 0.00128722 0.971161 -0.499189 
0.806133 -0.225467 0.00128611 0.971192 -0.499193 
0.80629 -0.224996 0.00128499 0.971224 -0.499197 
0.806447 -0.224525 0.00128386 0.971255 -0.499201 
0.806604 -0.224055 0.00128274 0.971287 -0.499205 
0.806761 -0.223586 0.00128161 0.971318 -0.499209 
0.806918 -0.223117 0.00128049 0.97135 -0.499213 
0.807075 -0.222649 0.00127936 0.971381 -0.499217 
0.807232 -0.222182 0.00127823 0.971413 -0.499221 
0.807389 -0.221715 0.00127709 0.971444 -0.499225 
0.807546 -0.221248 0.00127596 0.971475 -0.499228 
0.807703 -0.220783 0.00127482 0.971507 -0.499232 
0.807861 -0.220318 0.00127368 0.971538 -0.499236 
0.808018 -0.219853 0.00127254 0.971569 -0.49924 
0.808175 -0.21939 0.0012714 0.9716 -0.499244 
0.808332 -0.218926 0.00127026 0.971632 -0.499247 
0.808489 -0.218464 0.00126911 0.971663 -0.499251 
0.808646 -0.218002 0.00126796 0.971694 -0.499255 
0.808803 -0.217541 0.00126681 0.971725 -0.499258 
0.80896 -0.21708 0.00126566 0.971756 -0.499262 
0.809117 -0.21662 0.00126451 0.971787 -0.499266 
0.809274 -0.21616 0.00126336 0.971818 -0.499269 
0.809431 -0.215701 0.0012622 0.971849 -0.499273 
0.809588 -0.215243 0.00126104 0.97188 -0.499277 
0.809746 -0.214785 0.00125988 0.971911 -0.49928 
0.809903 -0.214328 0.00125872 0.971942 -0.499284 
0.81006 -0.213872 0.00125756 0.971973 -0.499288 
0.810217 -0.213416 0.00125639 0.972004 -0.499291 
0.810374 -0.212961 0.00125522 0.972035 -0.499295 
0.810531 -0.212506 0.00125406 0.972065 -0.499298 
0.810688 -0.212052 0.00125288 0.972096 -0.499302 
0.810845 -0.211599 0.00125171 0.972127 -0.499305 
0.811002 -0.211146 0.00125054 0.972158 -0.499309 
0.811159 -0.210694 0.00124936 0.972188 -0.499312 
0.811316 -0.210243 0.00124819 0.972219 -0.499316 
0.811473 -0.209792 0.00124701 0.97225 -0.499319 
0.81163 -0.209341 0.00124583 0.97228 -0.499322 
0.811788 -0.208892 0.00124465 0.972311 -0.499326 
0.811945 -0.208443 0.00124346 0.972341 -0.499329 
0.812102 -0.207994 0.00124228 0.972372 -0.499333 
0.812259 -0.207546 0.00124109 0.972402 -0.499336 
0.812416 -0.207099 0.0012399 0.972433 -0.499339 
0.812573 -0.206652 0.00123871 0.972463 -0.499343 
0.81273 -0.206206 0.00123752 0.972494 -0.499346 
0.812887 -0.205761 0.00123633 0.972524 -0.499349 
0.813044 -0.205316 0.00123513 0.972554 -0.499353 
0.813201 -0.204872 0.00123394 0.972585 -0.499356 
0.813358 -0.204428 0.00123274 0.972615 -0.499359 
0.813515 -0.203985 0.00123154 0.972645 -0.499363 
0.813672 -0.203543 0.00123034 0.972676 -0.499366 
0.81383 -0.203101 0.00122913 0.972706 -0.499369 
0.813987 -0.20266 0.00122793 0.972736 -0.499372 
0.814144 -0.20222 0.00122672 0.972766 -0.499375 
0.814301 -0.20178 0.00122552 0.972796 -0.499379 
0.814458 -0.201341 0.00122431 0.972826 -0.499382 
0.814615 -0.200902 0.0012231 0.972856 -0.499385 
0.814772 -0.200464 0.00122188 0.972887 -0.499388 
0.814929 -0.200026 0.00122067 0.972917 -0.499391 
0.815086 -0.199589 0.00121945 0.972947 -0.499394 
0.815243 -0.199153 0.00121824 0.972976 -0.499397 
0.8154 -0.198718 0.00121702 0.973006 -0.4994 
0.815557 -0.198283 0.0012158 0.973036 -0.499404 
0.815715 -0.197848 0.00121458 0.973066 -0.499407 
0.815872 -0.197414 0.00121336 0.973096 -0.49941 
0.816029 -0.196981 0.00121213 0.973126 -0.499413 
0.816186 -0.196549 0.00121091 0.973156 -0.499416 
0.816343 -0.196117 0.00120968 0.973185 -0.499419 
0.8165 -0.195685 0.00120845 0.973215 -0.499422 
0.816657 -0.195254 0.00120722 0.973245 -0.499425 
0.816814 -0.194824 0.00120599 0.973275 -0.499428 
0.816971 -0.194395 0.00120476 0.973304 -0.499431 
0.817128 -0.193966 0.00120352 0.973334 -0.499434 
0.817285 -0.193538 0.00120229 0.973363 -0.499437 
0.817442 -0.19311 0.00120105 0.973393 -0.499439 
0.817599 -0.192683 0.00119981 0.973423 -0.499442 
0.817757 -0.192256 0.00119857 0.973452 -0.499445 
0.817914 -0.19183 0.00119733 0.973482 -0.499448 
0.818071 -0.191405 0.00119609 0.973511 -0.499451 
0.818228 -0.19098 0.00119484 0.97354 -0.499454 
0.818385 -0.190556 0.0011936 0.97357 -0.499457 
0.818542 -0.190133 0.00119235 0.973599 -0.499459 
0.818699 -0.18971 0.0011911 0.973629 -0.499462 
0.818856 -0.189288 0.00118985 0.973658 -0.499465 
0.819013 -0.188866 0.0011886 0.973687 -0.499468 
0.81917 -0.188445 0.00118735 0.973716 -0.499471 
0.819327 -0.188025 0.00118609 0.973746 -0.499473 
0.819484 -0.187605 0.00118484 0.973775 -0.499476 
0.819642 -0.187186 0.00118358 0.973804 -0.499479 
0.819799 -0.186767 0.00118233 0.973833 -0.499482 
0.819956 -0.186349 0.00118107 0.973862 -0.499484 
0.820113 -0.185932 0.00117981 0.973891 -0.499487 
0.82027 -0.185515 0.00117854 0.97392 -0.49949 
0.820427 -0.185099 0.00117728 0.97395 -0.499492 
0.820584 -0.184683 0.00117602 0.973979 -0.499495 
0.820741 -0.184268 0.00117475 0.974008 -0.499498 
0.820898 -0.183854 0.00117348 0.974036 -0.4995 
0.821055 -0.18344 0.00117222 0.974065 -0.499503 
0.821212 -0.183027 0.00117095 0.974094 -0.499506 
0.821369 -0.182614 0.00116968 0.974123 -0.499508 
0.821526 -0.182202 0.00116841 0.974152 -0.499511 
0.821684 -0.181791 0.00116713 0.974181 -0.499513 
0.821841 -0.18138 0.00116586 0.97421 -0.499516 
0.821998 -0.18097 0.00116458 0.974238 -0.499519 
0.822155 -0.180561 0.00116331 0.974267 -0.499521 
0.822312 -0.180152 0.00116203 0.974296 -0.499524 
0.822469 -0.179743 0.00116075 0.974324 -0.499526 
0.822626 -0.179336 0.00115947 0.974353 -0.499529 
0.822783 -0.178929 0.00115819 0.974382 -0.499531 
0.82294 -0.178522 0.0011569 0.97441 -0.499534 
0.823097 -0.178116 0.00115562 0.974439 -0.499536 
0.823254 -0.177711 0.00115434 0.974467 -0.499539 
0.823411 -0.177306 0.00115305 0.974496 -0.499541 
0.823569 -0.176902 0.00115176 0.974524 -0.499544 
0.823726 -0.176499 0.00115047 0.974553 -0.499546 
0.823883 -0.176096 0.00114918 0.974581 -0.499548 
0.82404 -0.175693 0.00114789 0.97461 -0.499551 
0.824197 -0.175292 0.0011466 0.974638 -0.499553 
0.824354 -0.174891 0.00114531 0.974666 -0.499556 
0.824511 -0.17449 0.00114401 0.974695 -0.499558 
0.824668 -0.17409 0.00114272 0.974723 -0.49956 
0.824825 -0.173691 0.00114142 0.974751 -0.499563 
0.824982 -0.173292 0.00114012 0.974779 -0.499565 
0.825139 -0.172894 0.00113883 0.974808 -0.499567 
0.825296 -0.172497 0.00113753 0.974836 -0.49957 
0.825453 -0.1721 0.00113623 0.974864 -0.499572 
0.825611 -0.171703 0.00113492 0.974892 -0.499574 
0.825768 -0.171308 0.00113362 0.97492 -0.499577 
0.825925 -0.170913 0.00113232 0.974948 -0.499579 
0.826082 -0.170518 0.00113101 0.974976 -0.499581 
0.826239 -0.170124 0.00112971 0.975004 -0.499583 
0.826396 -0.169731 0.0011284 0.975032 -0.499586 
0.826553 -0.169338 0.00112709 0.97506 -0.499588 
0.82671 -0.168946 0.00112578 0.975088 -0.49959 
0.826867 -0.168555 0.00112447 0.975116 -0.499592 
0.827024 -0.168164 0.00112316 0.975144 -0.499595 
0.827181 -0.167774 0.00112185 0.975172 -0.499597 
0.827338 -0.167384 0.00112053 0.975199 -0.499599 
0.827496 -0.166995 0.00111922 0.975227 -0.499601 
0.827653 -0.166606 0.0011179 0.975255 -0.499603 
0.82781 -0.166218 0.00111659 0.975283 -0.499605 
0.827967 -0.165831 0.00111527 0.97531 -0.499608 
0.828124 -0.165444 0.00111395 0.975338 -0.49961 
0.828281 -0.165058 0.00111263 0.975366 -0.499612 
0.828438 -0.164673 0.00111131 0.975393 -0.499614 
0.828595 -0.164288 0.00110999 0.975421 -0.499616 
0.828752 -0.163903 0.00110867 0.975448 -0.499618 
0.828909 -0.16352 0.00110735 0.975476 -0.49962 
0.829066 -0.163137 0.00110602 0.975504 -0.499622 
0.829223 -0.162754 0.0011047 0.975531 -0.499624 
0.82938 -0.162372 0.00110337 0.975558 -0.499626 
0.829538 -0.161991 0.00110204 0.975586 -0.499629 
0.829695 -0.16161 0.00110072 0.975613 -0.499631 
0.829852 -0.16123 0.00109939 0.975641 -0.499633 
0.830009 -0.16085 0.00109806 0.975668 -0.499635 
0.830166 -0.160471 0.00109673 0.975695 -0.499637 
0.830323 -0.160093 0.0010954 0.975723 -0.499639 
0.83048 -0.159715 0.00109407 0.97575 -0.499641 
0.830637 -0.159338 0.00109273 0.975777 -0.499643 
0.830794 -0.158961 0.0010914 0.975804 -0.499645 
0.830951 -0.158585 0.00109006 0.975831 -0.499647 
0.831108 -0.15821 0.00108873 0.975859 -0.499648 
0.831265 -0.157835 0.00108739 0.975886 -0.49965 
0.831422 -0.157461 0.00108605 0.975913 -0.499652 
0.83158 -0.157087 0.00108472 0.97594 -0.499654 
0.831737 -0.156714 0.00108338 0.975967 -0.499656 
0.831894 -0.156341 0.00108204 0.975994 -0.499658 
0.832051 -0.155969 0.0010807 0.976021 -0.49966 
0.832208 -0.155598 0.00107936 0.976048 -0.499662 
0.832365 -0.155228 0.00107801 0.976075 -0.499664 
0.832522 -0.154857 0.00107667 0.976102 -0.499666 
0.832679 -0.154488 0.00107533 0.976128 -0.499667 
0.832836 -0.154119 0.00107398 0.976155 -0.499669 
0.832993 -0.153751 0.00107264 0.976182 -0.499671 
0.83315 -0.153383 0.00107129 0.976209 -0.499673 
0.833307 -0.153016 0.00106994 0.976236 -0.499675 
0.833465 -0.152649 0.0010686 0.976262 -0.499677 
0.833622 -0.152283 0.00106725 0.976289 -0.499678 
0.833779 -0.151918 0.0010659 0.976316 -0.49968 
0.833936 -0.151553 0.00106455 0.976342 -0.499682 
0.834093 -0.151189 0.0010632 0.976369 -0.499684 
0.83425 -0.150825 0.00106185 0.976396 -0.499686 
0.834407 -0.150462 0.0010605 0.976422 -0.499687 
0.834564 -0.150099 0.00105914 0.976449 -0.499689 
0.834721 -0.149738 0.00105779 0.976475 -0.499691 
0.834878 -0.149376 0.00105644 0.976502 -0.499693 
0.835035 -0.149016 0.00105508 0.976528 -0.499694 
0.835192 -0.148655 0.00105373 0.976555 -0.499696 
0.835349 -0.148296 0.00105237 0.976581 -0.499698 
0.835507 -0.147937 0.00105101 0.976607 -0.4997 
0.835664 -0.147579 0.00104966 0.976634 -0.499701 
0.835821 -0.147221 0.0010483 0.97666 -0.499703 
0.835978 -0.146864 0.00104694 0.976686 -0.499705 
0.836135 -0.146507 0.00104558 0.976713 -0.499706 
0.836292 -0.146151 0.00104422 0.976739 -0.499708 
0.836449 -0.145795 0.00104286 0.976765 -0.49971 
0.836606 -0.145441 0.0010415 0.976791 -0.499711 
0.836763 -0.145086 0.00104013 0.976817 -0.499713 
0.83692 -0.144733 0.00103877 0.976844 -0.499715 
0.837077 -0.144379 0.00103741 0.97687 -0.499716 
0.837234 -0.144027 0.00103605 0.976896 -0.499718 
0.837392 -0.143675 0.00103468 0.976922 -0.499719 
0.837549 -0.143324 0.00103332 0.976948 -0.499721 
0.837706 -0.142973 0.00103195 0.976974 -0.499723 
0.837863 -0.142623 0.00103058 0.977 -0.499724 
0.83802 -0.142273 0.00102922 0.977026 -0.499726 
0.838177 -0.141924 0.00102785 0.977052 -0.499727 
0.838334 -0.141575 0.00102648 0.977077 -0.499729 
0.838491 -0.141227 0.00102511 0.977103 -0.49973 
0.838648 -0.14088 0.00102374 0.977129 -0.499732 
0.838805 -0.140533 0.00102238 0.977155 -0.499733 
0.838962 -0.140187 0.00102101 0.977181 -0.499735 
0.839119 -0.139842 0.00101963 0.977207 -0.499737 
0.839276 -0.139497 0.00101826 0.977232 -0.499738 
0.839434 -0.139152 0.00101689 0.977258 -0.49974 
0.839591 -0.138808 0.00101552 0.977284 -0.499741 
0.839748 -0.138465 0.00101415 0.977309 -0.499743 
0.839905 -0.138122 0.00101277 0.977335 -0.499744 
0.840062 -0.13778 0.0010114 0.97736 -0.499746 
0.840219 -0.137439 0.00101003 0.977386 -0.499747 
0.840376 -0.137098 0.00100865 0.977412 -0.499748 
0.840533 -0.136757 0.00100728 0.977437 -0.49975 
0.84069 -0.136417 0.0010059 0.977463 -0.499751 
0.840847 -0.136078 0.00100453 0.977488 -0.499753 
0.841004 -0.13574 0.00100315 0.977513 -0.499754 
0.841161 -0.135401 0.00100177 0.977539 -0.499756 
0.841319 -0.135064 0.00100039 0.977564 -0.499757 
0.841476 -0.134727 0.000999017 0.97759 -0.499758 
0.841633 -0.134391 0.000997638 0.977615 -0.49976 
0.84179 -0.134055 0.00099626 0.97764 -0.499761 
0.841947 -0.133719 0.000994881 0.977665 -0.499763 
0.842104 -0.133385 0.000993501 0.977691 -0.499764 
0.842261 -0.133051 0.000992121 0.977716 -0.499765 
0.842418 -0.132717 0.000990741 0.977741 -0.499767 
0.842575 -0.132384 0.00098936 0.977766 -0.499768 
0.842732 -0.132052 0.000987979 0.977791 -0.49977 
0.842889 -0.13172 0.000986598 0.977816 -0.499771 
0.843046 -0.131389 0.000985216 0.977842 -0.499772 
0.843203 -0.131058 0.000983834 0.977867 -0.499774 
0.843361 -0.130728 0.000982451 0.977892 -0.499775 
0.843518 -0.130399 0.000981068 0.977917 -0.499776 
0.843675 -0.13007 0.000979685 0.977942 -0.499778 
0.843832 -0.129741 0.000978301 0.977967 -0.499779 
0.843989 -0.129413 0.000976918 0.977991 -0.49978 
0.844146 -0.129086 0.000975533 0.978016 -0.499781 
0.844303 -0.128759 0.000974149 0.978041 -0.499783 
0.84446 -0.128433 0.000972764 0.978066 -0.499784 
0.844617 -0.128108 0.000971378 0.978091 -0.499785 
0.844774 -0.127783 0.000969993 0.978116 -0.499787 
0.844931 -0.127458 0.000968607 0.97814 -0.499788 
0.845088 -0.127134 0.000967221 0.978165 -0.499789 
0.845246 -0.126811 0.000965834 0.97819 -0.49979 
0.845403 -0.126488 0.000964448 0.978215 -0.499792 
0.84556 -0.126166 0.000963061 0.978239 -0.499793 
0.845717 -0.125845 0.000961673 0.978264 -0.499794 
0.845874 -0.125524 0.000960286 0.978288 -0.499795 
0.846031 -0.125203 0.000958898 0.978313 -0.499797 
0.846188 -0.124883 0.00095751 0.978338 -0.499798 
